"type";"nano"
"TCP";2637000
"TCP";3043000
"TCP";93000
"TCP";61000
"TCP";3473000
"TCP";3226000
"TCP";81000
"TCP";39000
"TCP";5387000
"TCP";2595000
"TCP";86000
"TCP";52000
"TCP";2793000
"TCP";5560000
"TCP";73000
"TCP";2601000
"TCP";58000
"TCP";3098000
"TCP";3289000
"TCP";54000
"TCP";2716000
"TCP";68000
"TCP";2573000
"TCP";69000
"TCP";5437000
"TCP";3595000
"TCP";81000
"TCP";3341000
"TCP";79000
"TCP";2862000
"TCP";71000
"TCP";2594000
"TCP";61000
"TCP";2909000
"TCP";2589000
"TCP";62000
"TCP";2933000
"TCP";969000
"TCP";3542000
"TCP";53000
"TCP";3340000
"TCP";78000
"TCP";7922000
"TCP";4495000
"TCP";351000
"TCP";68000
"TCP";3091000
"TCP";3040000
"TCP";82000
"TCP";7136000
"TCP";59000
"TCP";2586000
"TCP";2585000
"TCP";67000
"TCP";3401000
"TCP";87000
"TCP";2897000
"TCP";3017000
"TCP";77000
"TCP";87000
"TCP";2558000
"TCP";3466000
"TCP";68000
"TCP";113000
"TCP";996223000
"TCP";-6123000
"TCP";157000
"TCP";81000
"TCP";5108000
"TCP";8293000
"TCP";9186000
"TCP";81000
"TCP";3265000
"TCP";72000
"TCP";3034000
"TCP";8049000
"TCP";107000
"TCP";90000
"TCP";2741000
"TCP";2556000
"TCP";90000
"TCP";412000
"TCP";3771000
"TCP";5286000
"TCP";105000
"TCP";110000
"TCP";7753000
"TCP";2854000
"TCP";3507000
"TCP";69000
"TCP";83000
"TCP";8343000
"TCP";2959000
"TCP";82000
"TCP";64000
"TCP";2578000
"TCP";2952000
"TCP";75000
"TCP";83000
"TCP";2865000
"TCP";2702000
"TCP";87000
"TCP";2527000
"TCP";63000
"TCP";2574000
"TCP";63000
"TCP";5110000
"TCP";2939000
"TCP";139000
"TCP";2930000
"TCP";5267000
"TCP";216000
"TCP";52000
"TCP";3100000
"TCP";2563000
"TCP";61000
"TCP";539000
"TCP";2583000
"TCP";5537000
"TCP";67000
"TCP";107000
"TCP";2858000
"TCP";2590000
"TCP";5415000
"TCP";58000
"TCP";3968000
"TCP";70000
"TCP";2651000
"TCP";4603000
"TCP";61000
"TCP";75000
"TCP";2625000
"TCP";3355000
"TCP";118000
"TCP";77000
"TCP";2546000
"TCP";2611000
"TCP";58000
"TCP";68000
"TCP";3276000
"TCP";3379000
"TCP";54190000
"TCP";182000
"TCP";2744000
"TCP";79000
"TCP";5296000
"TCP";2580000
"TCP";87000
"TCP";1592000
"TCP";3777000
"TCP";3324000
"TCP";87000
"TCP";64000
"TCP";5701000
"TCP";5986000
"TCP";66000
"TCP";70000
"TCP";2615000
"TCP";3251000
"TCP";2741000
"TCP";76000
"TCP";3345000
"TCP";66000
"TCP";2572000
"TCP";2849000
"TCP";83000
"TCP";71000
"TCP";2572000
"TCP";2642000
"TCP";3511000
"TCP";58000
"TCP";2873000
"TCP";3935000
"TCP";603000
"TCP";2624000
"Normal";2364000
"Normal";2540000
"Normal";12000
"Normal";17000
"Normal";2375000
"Normal";2392000
"Normal";21000
"Normal";20000
"Normal";2416000
"Normal";2653000
"Normal";11000
"Normal";14000
"Normal";2401000
"Normal";2499000
"Normal";12000
"Normal";2370000
"Normal";16000
"Normal";2499000
"Normal";2464000
"Normal";2522000
"Normal";16000
"Normal";19000
"Normal";2390000
"Normal";2374000
"Normal";11000
"Normal";12000
"Normal";2944000
"Normal";3006000
"Normal";17000
"Normal";20000
"Normal";2794000
"Normal";2590000
"SHM";19993000
"SHM";14870000
"SHM";103000
"SHM";61000
"SHM";3515000
"SHM";7500000
"SHM";70000
"SHM";55000
"SHM";2488000
"SHM";2550000
"SHM";60000
"SHM";56000
"SHM";3217000
"SHM";4085000
"SHM";108000
"SHM";5466000
"SHM";58000
"SHM";6811000
"SHM";7114000
"SHM";62000
"SHM";3394000
"SHM";57000
"SHM";3492000
"SHM";2977000
"SHM";116000
"SHM";98000
"SHM";2878000
"SHM";2545000
"SHM";108000
"SHM";2532000
"SHM";65000
"SHM";2637000
"SHM";73000
"SHM";2597000
"SHM";64000
"SHM";4958000
"SHM";5083000
"SHM";59000
"SHM";3363000
"SHM";56000
"SHM";2626000
"SHM";145000
"SHM";2621000
"SHM";2684000
"SHM";84000
"SHM";2701000
"SHM";56000
"SHM";2769000
"SHM";55000
"SHM";3195000
"SHM";59000
"SHM";2439000
"SHM";57000
"SHM";2542000
"SHM";8957000
"SHM";753000
"SHM";2640000
"SHM";62000
"SHM";2506000
"SHM";65000
"SHM";2610000
"SHM";6975000
"SHM";169000
"SHM";2428000
"SHM";60000
"SHM";2626000
"SHM";57000
"SHM";2423000
"SHM";101000
"SHM";3936000
"SHM";48000
"SHM";2742000
"SHM";3272000
"SHM";62000
"SHM";2554000
"SHM";54000
"SHM";2708000
"SHM";396000
"SHM";2611000
"SHM";50000
"SHM";2778000
"SHM";3699000
"SHM";70000
"SHM";2772000
"SHM";58000
"SHM";3088000
"SHM";37000
"SHM";3165000
"SHM";59000
"SHM";2843000
"SHM";2705000
"SHM";86000
"SHM";2518000
"SHM";60000
"SHM";2455000
"SHM";50000
"SHM";2827000
"SHM";2756000
"SHM";35000
"SHM";6052000
"SHM";124000
"SHM";2683000
"SHM";59000
"SHM";4616000
"SHM";111000
"SHM";2469000
"SHM";60000
"SHM";3348000
"SHM";3470000
"SHM";83000
"SHM";3904000
"SHM";60000
"SHM";3154000
"SHM";120000
"SHM";2445000
"SHM";2621000
"SHM";50000
"SHM";80000
"SHM";2590000
"SHM";4465000
"SHM";61000
"SHM";2691000
